Presidential Candidate Characteristics,,,,,,
Name,Year,Party,Height,Facial Hair,Win,
John W. Davis,1924,Democratic,180,No,No,
Calvin Coolidge,1924,Republican,178,No,Yes,
Al Smith,1928,Democratic,180,No,No,
Herbert Hoover,1928,Republican,182,No,Yes,
Franklin D. Roosevelt,1932,Democratic,188,No,Yes,
Herbert Hoover,1932,Republican,182,No,No,
Franklin D. Roosevelt,1936,Democratic,188,No,Yes,
Alfred Landon,1936,Republican,180,No,No,
Franklin D. Roosevelt,1940,Democratic,188,No,Yes,
Wendell Willkie,1940,Republican,189,No,No,
Franklin D. Roosevelt,1944,Democratic,188,No,Yes,
Thomas E. Dewey,1944,Republican,173,Yes,No,
Harry S. Truman,1948,Democratic,175,No,Yes,
Thomas E. Dewey,1948,Republican,173,Yes,No,
Adlai Stevenson II,1952,Democratic,178,No,No,
Dwight D. Eisenhower,1952,Republican,179,No,Yes,
Adlai Stevenson II,1956,Democratic,178,No,No,
Dwight D. Eisenhower,1956,Republican,179,No,Yes,
John F. Kennedy,1960,Democratic,185,No,Yes,
Richard Nixon,1960,Republican,182,No,No,
Lyndon B. Johnson,1964,Democratic,192,No,Yes,
Barry Goldwater,1964,Republican,180,No,No,
Hubert Humphrey,1968,Democratic,180,No,No,
Richard Nixon,1968,Republican,182,No,Yes,
George McGovern,1972,Democratic,185,No,No,
Richard Nixon,1972,Republican,182,No,Yes,
Jimmy Carter,1976,Democratic,177,No,Yes,
Gerald Ford,1976,Republican,183,No,No,
Jimmy Carter,1980,Democratic,177,No,No,
Ronald Reagan,1980,Republican,185,No,Yes,
Walter Mondale,1984,Democratic,180,No,No,
Ronald Reagan,1984,Republican,185,No,Yes,
Michael Dukakis,1988,Democratic,174,No,No,
George H. W. Bush,1988,Republican,188,No,Yes,
Bill Clinton,1992,Democratic,189,No,Yes,
George H. W. Bush,1992,Republican,188,No,No,
Bill Clinton,1996,Democratic,189,No,Yes,
Bob Dole,1996,Republican,188,No,No,
Al Gore,2000,Democratic,185,No,No,
George W. Bush,2000,Republican,182,No,Yes,
John Kerry,2004,Democratic,193,No,No,
George W. Bush,2004,Republican,182,No,Yes,
Barack Obama,2008,Democratic,187,No,Yes,
John McCain,2008,Republican,175,No,No,
Barack Obama,2012,Democratic,187,No,Yes,
Mitt Romney,2012,Republican,187,No,No,
Hillary Clinton,2016,Democratic,165,No,No,
Donald Trump,2016,Republican,190,No,Yes,
Joe Biden,2020,Democratic,183,No,Yes,
Donald Trump,2020,Republican,190,No,No,
Kamala Harris,2024,Democratic,164,No,No,
Donald Trump,2024,Republican,190,No,Yes,
