Presidential Candidate Characteristics,,,,,,
Name,Year,Party,Height,Facial Hair,Win,
Andrew Jackson,1832,Democratic,185,No,Yes,
Henry Clay,1832,Republican,185,No,No,
Martin Van Buren,1836,Democratic,168,Yes,Yes,
William Henry Harrison,1836,Republican,173,No,No,
Martin Van Buren,1840,Democratic,168,Yes,No,
William Henry Harrison,1840,Republican,173,No,Yes,
James K. Polk,1844,Democratic,173,No,Yes,
Henry Clay,1844,Republican,185,No,No,
Lewis Cass,1848,Democratic,174,No,No,
Zachary Taylor,1848,Republican,173,Yes,Yes,
Franklin Pierce,1852,Democratic,178,No,Yes,
Winfield Scott,1852,Republican,196,Yes,No,
James Buchanan,1856,Democratic,183,No,Yes,
John C. Fremont,1856,Republican,175,Yes,No,
Stephan A. Douglas,1860,Democratic,163,No,No,
Abraham Lincoln,1860,Republican,193,Yes,Yes,
George B. McClellan,1864,Democratic,173,Yes,No,
Abraham Lincoln,1864,Republican,193,Yes,Yes,
Horatio Seymour,1868,Democratic,,Yes,No,
Ulysses S. Grant,1868,Republican,173,Yes,Yes,
Horace Greeley,1872,Democratic,178,Yes,No,
Ulysses S. Grant,1872,Republican,173,Yes,Yes,
Samuel J. Tilden,1876,Democratic,178,No,No,
Rutherford B. Hayes,1876,Republican,174,Yes,Yes,
Winfield Scott Hancock,1880,Democratic,187,Yes,No,
James A. Garfield,1880,Republican,183,Yes,Yes,
Grover Cleveland,1884,Democratic,180,Yes,Yes,
James G. Blaine,1884,Republican,180,Yes,No,
Grover Cleveland,1888,Democratic,180,Yes,No,
Benjamin Harrison,1888,Republican,168,Yes,Yes,
Grover Cleveland,1892,Democratic,180,Yes,Yes,
Benjamin Harrison,1892,Republican,168,Yes,No,
William Jennings Bryan,1896,Democratic,180,No,No,
William Mckinley,1896,Republican,170,No,Yes,
William Jennings Bryan,1900,Democratic,180,No,No,
William Mckinley,1900,Republican,170,No,Yes,
Alton. B Parker,1904,Democratic,175,Yes,No,
Theodore Roosevelt,1904,Republican,178,Yes,Yes,
William Jennings Bryan,1908,Democratic,180,No,No,
William H. Taft,1908,Republican,182,Yes,Yes,
Woodrow Wilson,1912,Democratic,180,No,Yes,
William H. Taft,1912,Republican,192,Yes,No,
Woodrow Wilson,1916,Democratic,180,No,Yes,
Charles Evans Hughes,1916,Republican,178,Yes,No,
James M. Cox,1920,Democratic,168,No,No,
Warren G Harding,1920,Republican,183,No,Yes,
John W. Davis,1924,Democratic,180,No,No,
Calvin Coolidge,1924,Republican,178,No,Yes,
Al Smith,1928,Democratic,180,No,No,
Herbert Hoover,1928,Republican,182,No,Yes,
Franklin D. Roosevelt,1932,Democratic,188,No,Yes,
Herbert Hoover,1932,Republican,182,No,No,
Franklin D. Roosevelt,1936,Democratic,188,No,Yes,
Alfred Landon,1936,Republican,180,No,No,
Franklin D. Roosevelt,1940,Democratic,188,No,Yes,
Wendell Willkie,1940,Republican,189,No,No,
Franklin D. Roosevelt,1944,Democratic,188,No,Yes,
Thomas E. Dewey,1944,Republican,173,Yes,No,
Harry S. Truman,1948,Democratic,175,No,Yes,
Thomas E. Dewey,1948,Republican,173,Yes,No,
Adlai Stevenson II,1952,Democratic,178,No,No,
Dwight D. Eisenhower,1952,Republican,179,No,Yes,
Adlai Stevenson II,1956,Democratic,178,No,No,
Dwight D. Eisenhower,1956,Republican,179,No,Yes,
John F. Kennedy,1960,Democratic,185,No,Yes,
Richard Nixon,1960,Republican,182,No,No,
Lyndon B. Johnson,1964,Democratic,192,No,Yes,
Barry Goldwater,1964,Republican,180,No,No,
Hubert Humphrey,1968,Democratic,180,No,No,
Richard Nixon,1968,Republican,182,No,Yes,
George McGovern,1972,Democratic,185,No,No,
Richard Nixon,1972,Republican,182,No,Yes,
Jimmy Carter,1976,Democratic,177,No,Yes,
Gerald Ford,1976,Republican,183,No,No,
Jimmy Carter,1980,Democratic,177,No,No,
Ronald Reagan,1980,Republican,185,No,Yes,
Walter Mondale,1984,Democratic,180,No,No,
Ronald Reagan,1984,Republican,185,No,Yes,
Michael Dukakis,1988,Democratic,174,No,No,
George H. W. Bush,1988,Republican,188,No,Yes,
Bill Clinton,1992,Democratic,189,No,Yes,
George H. W. Bush,1992,Republican,188,No,No,
Bill Clinton,1996,Democratic,189,No,Yes,
Bob Dole,1996,Republican,188,No,No,
Al Gore,2000,Democratic,185,No,No,
George W. Bush,2000,Republican,182,No,Yes,
John Kerry,2004,Democratic,193,No,No,
George W. Bush,2004,Republican,182,No,Yes,
Barack Obama,2008,Democratic,187,No,Yes,
John McCain,2008,Republican,175,No,No,
Barack Obama,2012,Democratic,187,No,Yes,
Mitt Romney,2012,Republican,187,No,No,
Hillary Clinton,2016,Democratic,165,No,No,
Donald Trump,2016,Republican,190,No,Yes,
Joe Biden,2020,Democratic,183,No,Yes,
Donald Trump,2020,Republican,190,No,No,
Kamala Harris,2024,Democratic,164,No,No,
Donald Trump,2024,Republican,190,No,Yes,
